#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN50215339	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918717.1	chloramphenicol	not defined	<=	0.03					EUCAST	2025-09-10T17:52:41Z
SAMN50215184	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918198.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:48:58Z
SAMN50215166	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918235.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:14Z
SAMN50215662	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918269.1	chloramphenicol	not defined	<=	0.03					EUCAST	2025-09-10T17:49:28Z
SAMN50215818	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918535.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:51:28Z
SAMN50215473	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918663.1	chloramphenicol	not defined	==	1.0					EUCAST	2025-09-10T17:52:20Z
SAMN50215226	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918752.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:52:54Z
SAMN50215203	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918777.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:53:05Z
SAMN50215562	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918854.1	chloramphenicol	not defined	==	8.0					EUCAST	2025-09-10T17:53:38Z
SAMN10748606	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457711.1	chloramphenicol	susceptible	==		18.0				CLSI	2019-01-30T07:51:13Z
SAMN18634044	E.coli and Shigella	Escherichia coli	environmental/other	USA: OH	eye	PDT001001243.1	chloramphenicol	not defined	==	8.0		Sensititre	Trek	96-Well Plate	CLSI	2021-04-07T03:27:03Z
SAMN26232716	E.coli and Shigella	Escherichia coli	clinical	Botswana: Kasane	faecal sample	PDT001463387.1	chloramphenicol	resistant	==		6.0				CLSI	2022-10-21T09:52:16Z
SAMN50215856	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918213.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:49:05Z
SAMN10748581	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457701.1	chloramphenicol	resistant	==		6.0				CLSI	2019-01-29T07:51:55Z
SAMN10748588	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457703.1	chloramphenicol	susceptible	==		18.0				CLSI	2019-01-29T07:53:06Z
SAMN10748593	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457705.1	chloramphenicol	susceptible	==		18.0				CLSI	2019-01-29T07:53:20Z
SAMN10748596	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457706.1	chloramphenicol	resistant	==		6.0				CLSI	2019-01-29T07:53:27Z
SAMN10748603	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457707.1	chloramphenicol	resistant	==		6.0				CLSI	2019-01-29T07:54:11Z
SAMN10748605	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457708.1	chloramphenicol	resistant	==		6.0				CLSI	2019-01-29T07:55:10Z
SAMN10748607	E.coli and Shigella	Escherichia coli	clinical	Brazil: Botucatu, Sao Paulo State	urine	PDT000457709.1	chloramphenicol	susceptible	==		6.0				CLSI	2019-01-29T07:55:16Z
SAMN50215183	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918199.1	chloramphenicol	not defined	==	8.0					EUCAST	2025-09-10T17:48:59Z
SAMN50215735	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918252.1	chloramphenicol	not defined	<=	0.03					EUCAST	2025-09-10T17:49:21Z
SAMN50215555	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918322.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:50Z
SAMN50215554	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918323.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:50Z
SAMN50215553	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918324.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:49:51Z
SAMN50215552	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918325.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:51Z
SAMN50215551	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918326.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:49:52Z
SAMN50215550	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918328.1	chloramphenicol	not defined	>	64.0					EUCAST	2025-09-10T17:49:53Z
SAMN50215549	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918329.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:53Z
SAMN50215548	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918330.1	chloramphenicol	not defined	==	4.0					EUCAST	2025-09-10T17:49:53Z
SAMN50215547	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918331.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:54Z
SAMN50215546	E.coli and Shigella	Escherichia coli	clinical	United Kingdom	clinical	PDT002918332.1	chloramphenicol	not defined	==	2.0					EUCAST	2025-09-10T17:49:54Z
