"row","supplier_name","organism","amikacin","chloramphenicol","ciprofloxacin","cotrimoxazole","gentamicin","meropenem"
"1","CAB10K","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"2","CAB10P","E. coli","Sensitive","Resistant","Resistant","Resistant","Sensitive","Sensitive"
"3","CAB10R","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"4","CAB10T","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"5","CAB10W","E. coli","Sensitive","Sensitive","Resistant","Sensitive","Resistant","Sensitive"
"6","CAB10Z","E. coli","Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive"
"7","CAB111","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"8","CAB114","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"9","CAB116","E. coli","Sensitive","Resistant","Resistant","Resistant","Sensitive","Sensitive"
"10","CAB117","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"11","CAB11B","KpSC","Sensitive","Resistant",NA,"Resistant","Resistant","Sensitive"
"12","CAB11D","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"13","CAB11F","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"14","CAB11K","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"15","CAB11P","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant",NA
"16","CAB11R","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"17","CAB11X","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"18","CAB12D","E. coli","Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive"
"19","CAB12E","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"20","CAB12F","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"21","CAB138","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"22","CAB139","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"23","CAB139","KpSC","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"24","CAB13C","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"25","CAB13I","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"26","CAB13L","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"27","CAB14X","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"28","CAB14Y","E. coli","Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive"
"29","CAB153","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"30","CAB157","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"31","CAB158","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"32","CAB159","E. coli","Sensitive","Resistant","Sensitive","Resistant","Resistant","Sensitive"
"33","CAB159","KpSC","Sensitive","Sensitive","Intermediate","Resistant","Sensitive","Sensitive"
"34","CAB15A","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"35","CAB15B","E. coli","Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive"
"36","CAB15B","KpSC","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"37","CAB15H","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"38","CAB15M","E. coli","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"39","CAB15M","KpSC","Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive"
"40","CAB15P","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"41","CAB15R","E. coli","Sensitive","Resistant","Resistant","Resistant","Sensitive","Sensitive"
"42","CAB15S","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"43","CAB15S","KpSC","Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive"
"44","CAB15T","E. coli","Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive"
"45","CAB15V","E. coli","Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive"
"46","CAB15V","KpSC","Sensitive","Resistant","Sensitive","Resistant","Resistant","Sensitive"
