AMRFP_subclass	ab	drug_class	drug_agent
AMINOCOUMARIN	NA	Aminocoumarin	NA
CARBAPENEMS	DOR	Aminoglycoside	None
FLUOROQUINOLONES	NEM	Aminoglycoside	Unknown
CEPHALOSPORINS (3RD GEN.)	CMX	Aminoglycoside	see Notes
FLUOROQUINOLONES	CIP	"Aminoglycoside,Fluoroquinolone"	Ciprofloxacin
AMIKACIN	AMK	Aminoglycosides	Amikacin
APRAMYCIN	APR	Aminoglycosides	Apramycin
G418	GEN	Aminoglycosides	Geneticin
GENTAMICIN	GEN	Aminoglycosides	Gentamicin
GENTAMICIN C	GEN	Aminoglycosides	Gentamicin C
HYGROMYCIN	HYG	Aminoglycosides	Hygromycin
KANAMYCIN	KAN	Aminoglycosides	Kanamycin
KASUGAMYCIN	KAS	Aminoglycosides	Kasugamycin
NEOMYCIN	NEO	Aminoglycosides	Neomycin
STREPTOTHRICIN	STR	Aminoglycosides	Streptoduocin
STREPTOMYCIN	STR1	Aminoglycosides	Streptomycin
TOBRAMYCIN	TOB	Aminoglycosides	Tobramycin
CHLORAMPHENICOL	CHL	Phenicols	Chloramphenicol
THIAMPHENICOL	THI	Phenicols	Thiamphenicol
CAPREOMYCIN	CAP	Antimycobacterials	Capreomycin
ISONIAZID	INH	Antimycobacterials	Isoniazid
RIFAMPIN	RIF	Antimycobacterials	Rifampicin
RIFAMYCIN	RFM	Antimycobacterials	Rifamycin
VIOMYCIN	VIO	Antimycobacterials	Viomycin
AMINOPENICILLINS	AMX	Beta-lactams/penicillins	Amoxicillin
AMINOPENICILLINS	AMC	Beta-lactams/penicillins	Amoxicillin+Clavulanic acid
CEPHALOSPORINS (4TH GEN.)	FEP	Cephalosporins (4th gen.)	Cefepime
CEPHALOSPORINS (3RD GEN.)	CFM	Cephalosporins (3rd gen.)	Cefixime
CEPHALOSPORINS (3RD GEN.)	CTX	Cephalosporins (3rd gen.)	Cefotaxime
CEPHALOSPORINS (3RD GEN.)	CTC	Cephalosporins (3rd gen.)	Cefotaxime+Clavulanic acid
CEPHALOSPORINS (2ND GEN.)	FOX	Cephalosporins (2nd gen.)	Cefoxitin
CEPHALOSPORINS (3RD GEN.)	CAZ	Cephalosporins (3rd gen.)	Ceftazidime
CEPHALOSPORINS (3RD GEN.)	CZA	Cephalosporins (3rd gen.)	Ceftazidime+avibactam
CEPHALOSPORINS (3RD GEN.)	CRO	Cephalosporins (3rd gen.)	Ceftriaxone
CEPHALOSPORINS (2ND GEN.)	CXM	Cephalosporins (2nd gen.)	Cefuroxime
CEPHALOSPORINS (1ST GEN.)	CEP	Cephalosporins (1st gen.)	Cephalothin
CARBAPENEMS	ETP	Carbapenems	Ertapenem
PENICILLINS	PEN	Beta-lactams/penicillins	Penicillin
UREIDOPENICILLINS	PIP	Beta-lactams/penicillins	Piperacillin
UREIDOPENICILLINS	TZP	Beta-lactams/penicillins	Piperacillin+Tazobactam
PENICILLINS	TCC	Beta-lactams/penicillins	Ticarcillin+Clavulanic acid
AMOXICILLIN-CLAVULANIC ACID	AMC	Beta-lactams/penicillins	Amoxicillin/clavulanic acid
AMPICILLIN	AMP	Beta-lactams/penicillins	Ampicillin
AVIBACTAM	AVB	Beta-lactams/penicillins	Avibactam
