"Name"	"Protein id"	"Contig id"	"Start"	"Stop"	"Strand"	"Gene symbol"	"Element name"	"Scope"	"Type"	"Subtype"	"Class"	"Subclass"	"Method"	"Target length"	"Reference sequence length"	"% Coverage of reference"	"% Identity to reference"	"Alignment length"	"Closest reference accession"	"Closest reference name"	"HMM accession"	"HMM description"
"26141_1_134"	NA	".26141_1_134.100"	561	1346	"-"	"aadA5"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	262	262	100	100	262	"WP_000503573.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	NA	NA
"26141_1_134"	NA	".26141_1_134.100"	1480	1950	"-"	"dfrA17"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	157	157	100	100	157	"WP_001389366.1"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	NA	NA
"26141_1_134"	NA	".26141_1_134.105"	159	404	"-"	"arr"	"NAD(+)--rifampin ADP-ribosyltransferase"	"core"	"AMR"	"AMR"	"RIFAMYCIN"	"RIFAMYCIN"	"PARTIALX"	82	150	54.67	100	82	"WP_000237816.1"	"NAD(+)--rifampin ADP-ribosyltransferase Arr-2"	NA	NA
"26141_1_134"	NA	".26141_1_134.105"	492	1121	"-"	"catB3"	"type B-3 chloramphenicol O-acetyltransferase CatB3"	"core"	"AMR"	"AMR"	"PHENICOL"	"CHLORAMPHENICOL"	"EXACTX"	210	210	100	100	210	"WP_000186237.1"	"type B-3 chloramphenicol O-acetyltransferase CatB3"	NA	NA
"26141_1_134"	NA	".26141_1_134.105"	1262	2089	"-"	"blaOXA-1"	"oxacillin-hydrolyzing class D beta-lactamase OXA-1"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	276	276	100	100	276	"WP_001334766.1"	"oxacillin-hydrolyzing class D beta-lactamase OXA-1"	NA	NA
"26141_1_134"	NA	".26141_1_134.105"	2223	2774	"-"	"aac(6')-Ib-cr5"	"fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE/QUINOLONE"	"AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN"	"ALLELEX"	184	184	100	100	184	"WP_063840321.1"	"fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5"	NA	NA
"26141_1_134"	NA	".26141_1_134.107"	831	1688	"+"	"blaTEM-1"	"broad-spectrum class A beta-lactamase TEM-1"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"BETA-LACTAM"	"ALLELEX"	286	286	100	100	286	"WP_000027057.1"	"broad-spectrum class A beta-lactamase TEM-1"	NA	NA
"26141_1_134"	NA	".26141_1_134.5"	9856	10728	"+"	"blaCTX-M-15"	"extended-spectrum class A beta-lactamase CTX-M-15"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_000239590.1"	"extended-spectrum class A beta-lactamase CTX-M-15"	NA	NA
"26141_1_134"	NA	".26141_1_134.84"	353	1165	"+"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	271	271	100	100	271	"WP_001043265.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	NA	NA
"26141_1_134"	NA	".26141_1_134.84"	1229	2029	"+"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_134"	NA	".26141_1_134.84"	2032	2865	"+"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	278	278	100	100	278	"WP_000480972.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_134"	NA	".26141_1_134.84"	3922	5118	"+"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTX"	399	399	100	100	399	"WP_000804064.1"	"tetracycline efflux MFS transporter Tet(A)"	NA	NA
"26141_1_134"	NA	".26141_1_134.86"	507	1364	"+"	"aac(3)-IId"	"aminoglycoside N-acetyltransferase AAC(3)-IId"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"GENTAMICIN"	"EXACTX"	286	286	100	100	286	"WP_000557454.1"	"aminoglycoside N-acetyltransferase AAC(3)-IId"	NA	NA
"26141_1_134"	NA	".26141_1_134.93"	227	1129	"+"	"mph(A)"	"Mph(A) family macrolide 2'-phosphotransferase"	"core"	"AMR"	"AMR"	"MACROLIDE"	"AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN"	"EXACTX"	301	301	100	100	301	"WP_000219391.1"	"Mph(A) family macrolide 2'-phosphotransferase"	NA	NA
"26141_1_135"	NA	".26141_1_135.122"	2	403	"+"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"PARTIAL_CONTIG_ENDX"	134	267	50.19	100	134	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_135"	NA	".26141_1_135.122"	406	894	"+"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"PARTIAL_CONTIG_ENDX"	163	278	58.63	100	163	"WP_000480968.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_135"	NA	".26141_1_135.4"	191636	192508	"-"	"blaCTX-M-15"	"extended-spectrum class A beta-lactamase CTX-M-15"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_000239590.1"	"extended-spectrum class A beta-lactamase CTX-M-15"	NA	NA
